filename,width,height,class,xmin,ymin,xmax,ymax
WeChat Image_20180109111916.jpg,1080,1920,relay,187,662,948,1770
WeChat Image_20180109111922.jpg,1080,1920,relay,83,398,699,1442
WeChat Image_20180109111934.jpg,1080,1920,relay,85,418,891,1648
WeChat Image_20180109111940.jpg,1080,1920,relay,237,298,989,1372
WeChat Image_20180109111851.jpg,1080,1920,temperature,383,806,1007,1628
WeChat Image_20180109112104.jpg,1080,1920,temperature,421,250,893,702
WeChat Image_20180109112104.jpg,1080,1920,heater,391,716,855,1004
WeChat Image_20180109112104.jpg,1080,1920,fan,377,1102,785,1540
WeChat Image_20180109112019.jpg,1080,1920,modbus bridge,211,708,835,1488
WeChat Image_20180109111943.jpg,1080,1920,relay,53,248,893,1430
WeChat Image_20180109112009.jpg,1080,1920,modbus bridge,183,522,913,1428
WeChat Image_20180109112039.jpg,1080,1920,temperature,357,388,895,862
WeChat Image_20180109112039.jpg,1080,1920,heater,341,814,903,1116
WeChat Image_20180109112039.jpg,1080,1920,fan,357,1230,789,1702
WeChat Image_20180109112035.jpg,1080,1920,temperature,167,368,679,722
WeChat Image_20180109112035.jpg,1080,1920,heater,155,704,739,990
WeChat Image_20180109112035.jpg,1080,1920,fan,235,1076,715,1536
WeChat Image_20180109112050.jpg,1080,1920,temperature,343,328,891,796
WeChat Image_20180109112050.jpg,1080,1920,heater,349,766,857,1062
WeChat Image_20180109112050.jpg,1080,1920,fan,349,1166,761,1608
WeChat Image_20180109111930.jpg,1080,1920,relay,211,436,947,1502
WeChat Image_20180109111959.jpg,1920,1080,modbus bridge,630,177,1447,812
WeChat Image_20180109112012.jpg,1080,1920,modbus bridge,251,822,919,1644
WeChat Image_20180109112032.jpg,1080,1920,temperature,141,390,795,864
WeChat Image_20180109112032.jpg,1080,1920,heater,143,856,815,1154
WeChat Image_20180109112032.jpg,1080,1920,fan,261,1316,751,1810
WeChat Image_20180109112002.jpg,1080,1920,modbus bridge,301,434,1033,1296
WeChat Image_20180109112100.jpg,1080,1920,temperature,145,360,777,824
WeChat Image_20180109112100.jpg,1080,1920,heater,155,818,777,1110
WeChat Image_20180109112100.jpg,1080,1920,fan,229,1220,693,1686
WeChat Image_20180109111926.jpg,1080,1920,relay,131,146,817,1158
WeChat Image_20180109112005.jpg,1080,1920,modbus bridge,254,457,1059,1643
WeChat Image_20180109112046.jpg,1080,1920,temperature,163,462,817,974
WeChat Image_20180109112046.jpg,1080,1920,heater,195,928,769,1170
WeChat Image_20180109112046.jpg,1080,1920,fan,283,1254,665,1554
WeChat Image_20180109111909.jpg,1920,1080,relay,299,22,1513,946
WeChat Image_20180109111842.jpg,1080,1920,temperature,211,236,777,902
WeChat Image_20180109112053.jpg,1920,1080,temperature,1116,94,1506,574
WeChat Image_20180109112053.jpg,1920,1080,heater,913,129,1171,615
WeChat Image_20180109112053.jpg,1920,1080,fan,475,212,837,629
WeChat Image_20180109111839.jpg,1080,1920,temperature,465,616,957,1278
WeChat Image_20180109111821.jpg,1080,1920,temperature,217,402,809,1240
WeChat Image_20180109112016.jpg,1080,1920,modbus bridge,301,408,947,1230
WeChat Image_20180109111855.jpg,1080,1920,temperature,441,500,957,1036
WeChat Image_20180109111847.jpg,1920,1080,temperature,461,53,1678,870
WeChat Image_20180109111937.jpg,1080,1920,relay,69,324,911,1502
WeChat Image_20180109112043.jpg,1920,1080,temperature,1068,212,1444,694
WeChat Image_20180109112043.jpg,1920,1080,heater,816,236,1082,736
WeChat Image_20180109112043.jpg,1920,1080,fan,364,274,737,705
WeChat Image_20180109111919.jpg,1920,1080,relay,389,60,1702,936
WeChat Image_20180109112056.jpg,1080,1920,temperature,249,758,841,1158
WeChat Image_20180109112056.jpg,1080,1920,fan,379,1450,773,1692
WeChat Image_20180109112056.jpg,1080,1920,heater,289,1228,829,1358
